oid,type,value
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148477948,OctetString,"""Smoke Alarm"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148477949,OctetString,"""TEC Cooler Fault"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148477950,OctetString,"""Heater Hardware Fault"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148536024,OctetString,"""Communication Failure"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148606612,OctetString,"""All SSU Communication Failure"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148606614,OctetString,"""SSU Missing"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148664946,OctetString,"""SSU Fault"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148664948,OctetString,"""Communication Failure"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148664949,OctetString,"""SSU Protection"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148664950,OctetString,"""SSU Update Failed"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148672146,OctetString,"""PV Array Fault"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148803566,OctetString,"""Battery1 Cell1 Imbalance"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148803567,OctetString,"""Battery1 Cell2 Imbalance"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148803568,OctetString,"""Battery1 Cell3 Imbalance"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148803569,OctetString,"""Battery1 Cell4 Imbalance"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148803570,OctetString,"""Battery1 Cell5 Imbalance"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148803571,OctetString,"""Battery1 Cell6 Imbalance"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148803572,OctetString,"""Battery1 Cell7 Imbalance"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148803573,OctetString,"""Battery1 Cell8 Imbalance"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148803574,OctetString,"""Battery1 Cell9 Imbalance"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148803575,OctetString,"""Battery1 Cell10 Imbalance"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148803576,OctetString,"""Battery1 Cell11 Imbalance"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148803577,OctetString,"""Battery1 Cell12 Imbalance"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148803578,OctetString,"""Battery1 Cell13 Imbalance"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148803579,OctetString,"""Battery1 Cell14 Imbalance"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148803580,OctetString,"""Battery1 Cell15 Imbalance"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148803581,OctetString,"""Battery1 Cell16 Imbalance"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148803582,OctetString,"""Battery1 Cell17 Imbalance"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148803583,OctetString,"""Battery1 Cell18 Imbalance"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148803584,OctetString,"""Battery1 Cell19 Imbalance"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148803585,OctetString,"""Battery1 Cell20 Imbalance"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148803586,OctetString,"""Battery1 Cell21 Imbalance"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148803587,OctetString,"""Battery1 Cell22 Imbalance"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148803588,OctetString,"""Battery1 Cell23 Imbalance"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148803589,OctetString,"""Battery1 Cell24 Imbalance"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148803590,OctetString,"""Communication Failure"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148803591,OctetString,"""Abnormal Voltage Check"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148803592,OctetString,"""Battery2 Cell1 Imbalance"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148803593,OctetString,"""Battery2 Cell2 Imbalance"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148803594,OctetString,"""Battery2 Cell3 Imbalance"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148803595,OctetString,"""Battery2 Cell4 Imbalance"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148803596,OctetString,"""Battery2 Cell5 Imbalance"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148803597,OctetString,"""Battery2 Cell6 Imbalance"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148803598,OctetString,"""Battery2 Cell7 Imbalance"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148803599,OctetString,"""Battery2 Cell8 Imbalance"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148803600,OctetString,"""Battery3 Cell1 Imbalance"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148803601,OctetString,"""Battery3 Cell2 Imbalance"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148803602,OctetString,"""Battery3 Cell3 Imbalance"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148803603,OctetString,"""Battery3 Cell4 Imbalance"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148803604,OctetString,"""Battery4 Cell1 Imbalance"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148803605,OctetString,"""Battery4 Cell2 Imbalance"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148803606,OctetString,"""Battery4 Cell3 Imbalance"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148803607,OctetString,"""Battery4 Cell4 Imbalance"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148855813,OctetString,"""Battery1 Imbalance(Cell1-16)"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148855814,OctetString,"""Battery1 Imbalance(Cell17-24)"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148855815,OctetString,"""Battery2 Imbalance"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148855816,OctetString,"""Battery3 Imbalance"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148855817,OctetString,"""Battery4 Imbalance"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148936641,OctetString,"""Start Failure"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148936642,OctetString,"""Stop Failure"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148936644,OctetString,"""Abnormal Start"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148936645,OctetString,"""Abnormal Stop"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148945391,OctetString,"""Communication Failure"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148945392,OctetString,"""Genset Battery Under Voltage"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148945393,OctetString,"""Under Oil Pressure"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148945394,OctetString,"""Under Oil Pressure Protection"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148945395,OctetString,"""Over Coolant Temperature"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148945396,OctetString,"""Over Coolant Temperature Protection"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148945397,OctetString,"""Over Load Protection"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148945398,OctetString,"""Over Voltage Protection"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148945399,OctetString,"""Output Under Voltage Protection"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148945400,OctetString,"""Over Speed Protection"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148945402,OctetString,"""1st Maintenance Reminder"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148945403,OctetString,"""Running Hours Maintenance Reminder"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148945404,OctetString,"""Calendar Days Maintenance Reminder"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148945405,OctetString,"""Genset Door Open"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148945406,OctetString,"""Under Water Level"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148945407,OctetString,"""GCB Fault"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148945408,OctetString,"""Running"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148945409,OctetString,"""Motor Charger Fault"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148945410,OctetString,"""Low Auxiliary Sump Oil Level"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148945413,OctetString,"""Imbalance Voltage """
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148945414,OctetString,"""Over Frequency"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148945415,OctetString,"""Under Frequency"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148945416,OctetString,"""Imbalance Current"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148945417,OctetString,"""Charger Fault"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148945419,OctetString,"""Shortcut Protection"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148945422,OctetString,"""Phase Failure Protection"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148945423,OctetString,"""Emergency Stop"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148945424,OctetString,"""Diesel Generator Fault"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148945426,OctetString,"""V Belt Broken Protection"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148945427,OctetString,"""Low Fuel Level Protection"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148945431,OctetString,"""Under Oil Level"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148945434,OctetString,"""Over Air Intake Pressure"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148945437,OctetString,"""Fuel Solenoid Valve Fault"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148945439,OctetString,"""Over Voltage"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148945440,OctetString,"""Under Voltage"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148947544,OctetString,"""Low Load Rate Alarm"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148947545,OctetString,"""Abnormal Low Load"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148947546,OctetString,"""Abnormal Low Load Genset Off"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148947548,OctetString,"""No Load Low Frequency"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148947549,OctetString,"""No Load High Frequency"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148947550,OctetString,"""Machine Set Low Frequency"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148962336,OctetString,""" Phase L1 Over Voltage"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148962337,OctetString,""" Phase L2 Over Voltage"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148962338,OctetString,""" Phase L3 Over Voltage"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148962339,OctetString,""" Phase L1 Under Voltage"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148962340,OctetString,""" Phase L2 Under Voltage"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148962341,OctetString,""" Phase L3 Under Voltage"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148962342,OctetString,""" Phase L1 Failure"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148962343,OctetString,""" Phase L2 Failure"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148962344,OctetString,""" Phase L3 Failure"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148962351,OctetString,"""Genset Watering"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148966001,OctetString,"""Genset Work Abnormal"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148966002,OctetString,"""Genset Protection"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148966003,OctetString,"""Maintance Reminder"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2148966004,OctetString,"""Genset Generator Fault"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149009129,OctetString,"""Genset Run When Mains Normal"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149013083,OctetString,"""Hybrid Mode Active"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149057218,OctetString,"""Low Battery Capacity"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149067065,OctetString,"""Contactor Abnormal"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149070312,OctetString,"""All Li Batt Communication Failure"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149070313,OctetString,"""Battery Discharging"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149070324,OctetString,"""High Battery Temperature"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149070325,OctetString,"""Low Battery Temperature"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149070326,OctetString,"""BLVD Disconnected"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149070328,OctetString,"""Battery Fuse Broken"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149070329,OctetString,"""Battery Temperature Sensor 1 Missing"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149070330,OctetString,"""Battery Temperature Sensor 2 Missing"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149070331,OctetString,"""Battery Temperature Sensor 1 Fault"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149070332,OctetString,"""Battery Temperature Sensor 2 Fault"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149070333,OctetString,"""BMU Missing"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149118137,OctetString,"""Battery Reversely Connection"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149132606,OctetString,"""SOH Low"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149135798,OctetString,"""Communication Failure"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149135799,OctetString,"""Heater Fault"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149135800,OctetString,"""Hardware Fault"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149135801,OctetString,"""End of Lifecycle"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149135802,OctetString,"""Low Temperature"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149135803,OctetString,"""Low Temperature Protection"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149135804,OctetString,"""Discharge Over Temperature"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149135805,OctetString,"""Discharge High Temperature Protection"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149135806,OctetString,"""Charge Over Temperature"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149135807,OctetString,"""Charge High Temperature Protection"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149135808,OctetString,"""Charge Over Voltage"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149135809,OctetString,"""Overcharge Protection"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149135810,OctetString,"""Overdischarge"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149135811,OctetString,"""Overdischarge Protection"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149135812,OctetString,"""Charge Over Current"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149135813,OctetString,"""Charge Overcurrent Protection"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149135814,OctetString,"""Heavy Load Warning"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149135815,OctetString,"""Discharge Overcurrent Protection"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149135816,OctetString,"""Battery Cell 1 Fault"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149135817,OctetString,"""Battery Cell 2 Fault"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149135818,OctetString,"""Battery Cell 3 Fault"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149135819,OctetString,"""Battery Cell 4 Fault"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149135820,OctetString,"""Battery Cell 5 Fault"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149135821,OctetString,"""Battery Cell 6 Fault"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149135822,OctetString,"""Battery Cell 7 Fault"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149135823,OctetString,"""Battery Cell 8 Fault"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149135824,OctetString,"""Battery Cell 9 Fault"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149135825,OctetString,"""Battery Cell 10 Fault"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149135826,OctetString,"""Battery Cell 11 Fault"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149135827,OctetString,"""Battery Cell 12 Fault"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149135828,OctetString,"""Battery Cell 13 Fault"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149135829,OctetString,"""Battery Cell 14 Fault"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149135830,OctetString,"""Battery Cell 15 Fault"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149135831,OctetString,"""Battery Cell 16 Fault"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149135832,OctetString,"""Address Conflict"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149135833,OctetString,"""Upgrade Failed"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149135835,OctetString,"""Battery Cell Abnormal"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149135837,OctetString,"""Bus Bar Overvoltage"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149135840,OctetString,"""SOH Warning"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149135841,OctetString,"""Discharge Low Temperature Protection"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149135842,OctetString,"""Charge Low Temperature Protection"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149135843,OctetString,"""Reversely Connection"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149135844,OctetString,"""Abnormally Shutdown"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149144679,OctetString,"""UnLock Failure"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149183520,OctetString,"""Lithium Battery Protection"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149183521,OctetString,"""Lithium Battery Failure"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149183522,OctetString,"""Battery Cell Fault"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149183684,OctetString,"""High Temperature Protection"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149183693,OctetString,"""Battery Cell 17 Fault"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149183694,OctetString,"""Battery Cell 18 Fault"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149183695,OctetString,"""Battery Cell 19 Fault"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149183696,OctetString,"""Battery Cell 20 Fault"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149183697,OctetString,"""Battery Cell 21 Fault"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149183698,OctetString,"""Battery Cell 22 Fault"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149183854,OctetString,"""Protection Comprehensive Alarm"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149184107,OctetString,"""Battery Cell 23 Fault"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149195235,OctetString,"""Communication Failure"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149195236,OctetString,"""Main Battery Not Detected"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149195237,OctetString,"""Back Battery Not Detected"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149195238,OctetString,"""Back Battery to Main Battery Switch Failure"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149195239,OctetString,"""Main Battery to Back Battery Switch Failure"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149195240,OctetString,"""DTS Overtemperature"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149195241,OctetString,"""Main Battery Contactor Fault"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149195242,OctetString,"""Back Battery Contactor Fault"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149195243,OctetString,"""DTS Manual Mode"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149195244,OctetString,"""Main Battery Under Voltage"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149195245,OctetString,"""Back Battery Under Voltage"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149195248,OctetString,"""DTS Switch Alarm"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149195250,OctetString,"""Temperature Sensor Fault"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149195251,OctetString,"""Board Hardware Fault"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149249035,OctetString,"""DTS Work Abnormal"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149406455,OctetString,"""DG Charger Communicate Failure"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149406456,OctetString,"""Panel Shutdown"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149406457,OctetString,"""Module Fault"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149406458,OctetString,"""Module Protection"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149469629,OctetString,"""Communication Fail"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149469630,OctetString,"""DIN 1 Alarm"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149469631,OctetString,"""DIN 2 Alarm"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149469632,OctetString,"""DIN 3 Alarm"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149469633,OctetString,"""DIN 4 Alarm"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149469634,OctetString,"""DIN 5 Alarm"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149469635,OctetString,"""DIN 6 Alarm"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149511366,OctetString,"""Current Sensor Current Sensor Abnormal"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149511370,OctetString,"""Board Hardware Fault"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149590756,OctetString,"""Heater Hardware Fault"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149656293,OctetString,"""Air Conditioner Fault"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149722481,OctetString,"""Battery/Equip Cabinet Communication Failure"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149722483,OctetString,"""Battery Temperature Sensor Fault"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149722484,OctetString,"""Battery Temperature Sensor Missing"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149722485,OctetString,"""Fan 1 Fault"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149722486,OctetString,"""Fan 2 Fault"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149722487,OctetString,"""Fan 3 Fault"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149722488,OctetString,"""Fan 4 Fault"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149722492,OctetString,"""Battery Cabinet High Temperature"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149722493,OctetString,"""Indoor Return Vent Temperature Sensor Fault"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149722495,OctetString,"""In-cabinet Return Air High Temperature"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149722496,OctetString,"""Outdoor Temperature Sensor Fault"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149722498,OctetString,"""Cabinet Return Air Temperature Sensor Fault"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149722499,OctetString,"""Internal Fan Fault"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149722500,OctetString,"""Frequent High Pressure"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149722501,OctetString,"""Air Conditioner Communication Failure"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149722502,OctetString,"""External Fan Fault"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149722503,OctetString,"""Air Conditioner Compressor Fault"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149722504,OctetString,"""Air Conditioner Evaporator Frozen"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149722505,OctetString,"""Door Alarm"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149722508,OctetString,"""Battery Cabinet Temp Sensor Fault"""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.2.2149724973,OctetString,"""Air Conditioner Missing"""
